codesystem	code	description_code	value_en	description_en
obo	obo:UBERON_0005943	hair root sheath matrix	hair root sheath matrix	hair root sheath matrix
obo	obo:UBERON_0018643	deciduous molar tooth 2	deciduous molar tooth 2	deciduous molar tooth 2
obo	obo:UBERON_0035927	sulcus of parietal lobe	sulcus of parietal lobe	sulcus of parietal lobe
obo	obo:UBERON_0016943	lower premolar tooth	lower premolar tooth	lower premolar tooth
obo	obo:UBERON_0002076	cuticle of hair	cuticle of hair	cuticle of hair
obo	obo:UBERON_0000376	hindlimb stylopod	hindlimb stylopod	hindlimb stylopod
obo	obo:UBERON_0015111	distal tarsal bone 4 endochondral element	distal tarsal bone 4 endochondral element	distal tarsal bone 4 endochondral element
obo	obo:UBERON_0001395	thoraco-acromial artery	thoraco-acromial artery	thoraco-acromial artery
obo	obo:UBERON_0013076	snake venom	snake venom	snake venom
obo	obo:UBERON_0009912	anatomical lobe	anatomical lobe	anatomical lobe
obo	obo:UBERON_3000673	posteromedial process	posteromedial process	posteromedial process
obo	obo:UBERON_2001676	mesethmoid-premaxillary joint	mesethmoid-premaxillary joint	mesethmoid-premaxillary joint
obo	obo:UBERON_0005482	obsolete region of thorax	obsolete region of thorax	obsolete region of thorax
obo	obo:UBERON_0011376	iliothoracic muscle	iliothoracic muscle	iliothoracic muscle
obo	obo:UBERON_2000773	obsolete fast muscle cell somite 12	obsolete fast muscle cell somite 12	obsolete fast muscle cell somite 12
obo	obo:UBERON_0001634	mesencephalic artery	mesencephalic artery	mesencephalic artery
obo	obo:UBERON_0022260	radiation of cerebral hemisphere	radiation of cerebral hemisphere	radiation of cerebral hemisphere
obo	obo:UBERON_0001312	superior vesical artery	superior vesical artery	superior vesical artery
obo	obo:UBERON_3010106	tympanic papilla	tympanic papilla	tympanic papilla
obo	obo:UBERON_0002331	umbilical cord	umbilical cord	umbilical cord
obo	obo:UBERON_0004031	head ectomesenchyme	head ectomesenchyme	head ectomesenchyme
obo	obo:UBERON_2007031	anterior neural rod	anterior neural rod	anterior neural rod
obo	obo:UBERON_0008340	nasal bridge	nasal bridge	nasal bridge
obo	obo:UBERON_0001199	mucosa of stomach	mucosa of stomach	mucosa of stomach
